,c4,2/4,3/4,5/4,7/4,2/2,4/4,9/4,6/4,c2,c1,7/8,5/8,6/8,9/8,12/8,c3,c8,12/4,c6,c5,c7,c12,c10,c9,c16,c14
9/8,1.1769541997466937,0.8138045777712369,0.7201474983696009,0.8320556649706025,0.8324071870479263,1.1834883827448277,1.1834883827448277,0.9360040869724515,0.9659411635599995,0.62843090281635,0.62843090281635,0.6662594488013395,0.6640809200026776,0.3219910860324843,0.0,0.880315520569642,0.7661118797523072,1.832779104676155,1.6414089991176128,0.8782185626960577,1.5389664864234225,1.822746517934163,1.9298784519711734,2.0724709250326274,1.7480045682535421,2.706769258558743,2.499626139328482
12/8,1.2855842246903986,1.131611619072428,0.9599607018447268,1.1731336029974986,1.1717949552159483,1.286515329008304,1.286515329008304,0.6736903266937851,0.5069669730066296,1.2118349965353679,1.2118349965353679,1.2294764410028574,1.2320854081849202,0.6824258442941183,0.880315520569642,0.0,1.0696038260856948,1.7646711770811705,0.9400461998927989,0.9042842975958788,1.8504827102921506,2.0850585589983446,1.1700614158001093,2.3092023358004203,2.0151678581855426,2.6666442993935466,2.688040906097136
c3,1.413173352463668,1.1264513455543492,1.0393274369564403,1.1382890962295513,1.140207965359475,1.418914043257347,1.418914043257347,1.1807436055382108,1.1789894124999782,0.9985283792228454,0.9985283792228454,1.0236017727391715,1.021405466781219,0.752373590844862,0.7661118797523072,1.0696038260856948,0.0,1.9934059072973338,1.7542454312800582,0.9927230311585716,1.7219393591550092,1.9861975052672243,1.9905384202871277,2.211231908562089,1.7303420614635663,2.8237682467312903,2.62103537337058
c8,1.4142135623730951,1.318067584996503,1.5242880084787516,1.5352136090540538,1.530168430070586,0.8697984844468629,0.8697984844468629,1.6541658579813823,1.517470640363029,1.7320508075688772,1.7320508075688772,1.7441025091176028,1.7440970295374234,1.7691240987642682,1.832779104676155,1.7646711770811705,1.9934059072973338,0.0,1.7661879201260997,2.220412699959072,2.232798639243679,2.4245367347966456,2.420839754357787,2.631174057921088,2.6240828909878218,2.0,2.9591817714964312
12/4,1.6510182990933666,1.6169889378390616,1.5210789885156788,1.6922162279245594,1.6956809823490804,1.5296758125022638,1.5296758125022638,1.2045127208110995,0.9447122749858438,1.8306739106385945,1.8306739106385945,1.8394524997581958,1.8416627043183982,1.4811939341071059,1.6414089991176128,0.9400461998927989,1.7542454312800582,1.7661879201260997,0.0,1.673619661483673,2.2910190774242185,2.4817477060570203,1.2750776518806126,2.664445908131586,2.4314506566879284,2.483756189500277,2.994555906614835
c6,1.7253243712550146,1.4981210555223938,1.361315324077826,1.5062602859190615,1.507346399928551,1.726418696133,1.726418696133,1.2767201880471377,1.266510804220951,1.405967348855055,1.405967348855055,1.423513149339101,1.421621645564474,0.8531364454153678,0.8782185626960577,0.9042842975958788,0.9927230311585716,2.220412699959072,1.673619661483673,0.0,1.9827827020761186,2.211406917125668,1.7253243712550146,2.416401914229343,1.9890687404178684,2.9883494705505136,2.7935455822620816
c5,1.7278280479863808,1.5040097865693565,1.5060983802610997,1.4099211517571408,1.5197332902937541,1.7338454198684143,1.7338454198684143,1.7666971646616314,1.7673855659977369,1.4090385954289635,1.4090385954289635,1.4286236872603713,1.299576530730351,1.5385922682307889,1.5389664864234225,1.8504827102921506,1.7219393591550092,2.232798639243679,2.2910190774242185,1.9827827020761186,0.0,2.2219900250831497,2.628340052142946,1.3954575013025874,2.4351867534761538,2.98458034914388,2.799863192873173
c7,1.9830361651852022,1.7927641202071867,1.7963088285358941,1.8052135699033238,1.7018682488965855,1.9845197360019478,1.9845197360019478,2.0074615046180653,2.013182093234803,1.7203079548323494,1.7203079548323494,1.6173922940234198,1.734226346931871,1.8241870006481575,1.822746517934163,2.0850585589983446,1.9861975052672243,2.4245367347966456,2.4817477060570203,2.211406917125668,2.2219900250831497,0.0,2.7904501775858566,2.611146743882335,2.6187922319639334,3.142988765232606,1.720307954832349
c12,1.9883380930045633,2.0635106246913724,1.8598798534198269,2.071177677140781,2.0702708055783265,2.1130271398227913,2.1130271398227913,1.3236420219440284,1.2901286978175406,2.225643361388572,2.225643361388572,2.2339084964603497,2.2386725200968014,1.7281865157727403,1.9298784519711734,1.1700614158001093,1.9905384202871277,2.420839754357787,1.2750776518806126,1.7253243712550146,2.628340052142946,2.7904501775858566,0.0,2.9691315897308668,2.6131765106343954,3.140137754347581,3.258793644139631
c10,2.2188007849009166,2.049263002527252,2.0479570024707123,1.901562047003055,2.0640197004698773,2.221623036763501,2.221623036763501,2.2457904240175615,2.2429330538087173,1.9806758753205744,1.9806758753205744,1.9938103630329933,1.8375229006551195,2.071129779329348,2.0724709250326274,2.3092023358004203,2.211231908562089,2.631174057921088,2.664445908131586,2.416401914229343,1.3954575013025874,2.611146743882335,2.9691315897308668,0.0,2.8098501227702926,3.2816506165694674,3.1165843022606845
c9,2.226204495856456,2.0592412089740284,2.011925531026619,2.067018330149924,2.065072684790653,2.22929834367376,2.22929834367376,1.961356856253136,2.0756761838665434,1.9977672979278003,1.9977672979278003,2.0079518156942346,2.006387503626664,1.8808877132049524,1.7480045682535421,2.0151678581855426,1.7303420614635663,2.6240828909878218,2.4314506566879284,1.9890687404178684,2.4351867534761538,2.6187922319639334,2.6131765106343954,2.8098501227702926,0.0,3.299365244827406,3.1166795682049266
c16,2.449489742783178,2.395266615351726,2.5172275922926715,2.513066636649325,2.519420199810055,1.9138834273526673,1.9138834273526673,2.6002261534681828,2.5117659099090064,2.6457513110645907,2.6457513110645907,2.6568921116399347,2.6501307794313322,2.6695382843786453,2.706769258558743,2.6666442993935466,2.8237682467312903,2.0,2.483756189500277,2.9883494705505136,2.98458034914388,3.142988765232606,3.140137754347581,3.2816506165694674,3.299365244827406,0.0,3.5716602241474145
c14,2.6200887131669544,2.4806699817263924,2.482431203294497,2.4927276570983006,2.3435986315315342,2.6168854616667545,2.6168854616667545,2.6288549679309616,2.634184531561144,2.4328828411822303,2.4328828411822303,2.304631845902239,2.4417320936957774,2.5014564542194067,2.499626139328482,2.688040906097136,2.62103537337058,2.9591817714964312,2.994555906614835,2.7935455822620816,2.799863192873173,1.720307954832349,3.258793644139631,3.1165843022606845,3.1166795682049266,3.5716602241474145,0.0
